,Unnamed: 0,Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,year
247,91,92,Indonesia,5.192,0.931,1.203,,0.491,0.498,0.028,2019
248,92,93,China,5.191,1.029,1.125,,0.521,0.058,0.1,2019
249,93,94,Vietnam,5.175,0.741,1.346,,0.5429999999999999,0.147,0.073,2019
250,94,95,Bhutan,5.082,0.813,1.321,,0.457,0.37,0.16699999999999998,2019
251,95,96,Cameroon,5.044,0.5489999999999999,0.91,,0.381,0.187,0.037000000000000005,2019
252,96,97,Bulgaria,5.011,1.092,1.513,,0.311,0.081,0.004,2019
253,97,98,Ghana,4.996,0.611,0.868,,0.381,0.245,0.04,2019
254,98,99,Ivory Coast,4.944,0.569,0.8079999999999999,,0.35200000000000004,0.154,0.09,2019
255,99,100,Nepal,4.913,0.446,1.226,,0.439,0.285,0.08900000000000001,2019
256,100,101,Jordan,4.9060000000000015,0.8370000000000001,1.225,,0.383,0.11,0.13,2019
257,101,102,Benin,4.883,0.393,0.4370000000000001,,0.349,0.175,0.08199999999999999,2019
258,102,103,Congo (Brazzaville),4.812,0.6729999999999999,0.799,,0.3720000000000001,0.105,0.093,2019
259,103,104,Gabon,4.799,1.057,1.183,,0.295,0.043,0.055,2019
260,104,105,Laos,4.796,0.764,1.03,,0.547,0.266,0.16399999999999998,2019
261,105,106,South Africa,4.722,0.96,1.351,,0.389,0.13,0.055,2019
262,106,107,Albania,4.7189999999999985,0.947,0.848,,0.383,0.17800000000000002,0.027000000000000003,2019
263,107,108,Venezuela,4.707,0.96,1.4269999999999998,,0.154,0.064,0.047,2019
264,108,109,Cambodia,4.7,0.574,1.122,,0.609,0.232,0.062,2019
265,109,110,Palestinian Territories,4.6960000000000015,0.657,1.247,,0.225,0.103,0.066,2019
266,110,111,Senegal,4.681,0.45,1.134,,0.292,0.153,0.07200000000000001,2019
267,111,112,Somalia,4.668,0.0,0.698,,0.5589999999999999,0.243,0.27,2019
268,112,113,Namibia,4.6389999999999985,0.879,1.3130000000000002,,0.401,0.07,0.056,2019
269,113,114,Niger,4.628,0.138,0.774,,0.318,0.188,0.102,2019
270,114,115,Burkina Faso,4.587,0.331,1.056,,0.255,0.177,0.113,2019
271,115,116,Armenia,4.559,0.85,1.055,,0.28300000000000003,0.095,0.064,2019
272,116,117,Iran,4.548,1.1,0.8420000000000001,,0.305,0.27,0.125,2019
273,117,118,Guinea,4.534,0.38,0.8290000000000001,,0.332,0.207,0.086,2019
274,118,119,Georgia,4.519,0.8859999999999999,0.6659999999999999,,0.34600000000000003,0.043,0.16399999999999998,2019
275,119,120,Gambia,4.516,0.308,0.939,,0.382,0.269,0.16699999999999998,2019
276,120,121,Kenya,4.509,0.512,0.983,,0.431,0.3720000000000001,0.053,2019
277,121,122,Mauritania,4.49,0.57,1.167,,0.066,0.106,0.08800000000000001,2019
278,122,123,Mozambique,4.466,0.204,0.986,,0.494,0.197,0.138,2019
279,123,124,Tunisia,4.461,0.921,1.0,,0.16699999999999998,0.059,0.055,2019
280,124,125,Bangladesh,4.456,0.562,0.928,,0.527,0.166,0.14300000000000002,2019
281,125,126,Iraq,4.437,1.043,0.98,,0.241,0.14800000000000002,0.08900000000000001,2019
282,126,127,Congo (Kinshasa),4.418,0.094,1.125,,0.269,0.212,0.053,2019
283,127,128,Mali,4.39,0.385,1.105,,0.327,0.153,0.052000000000000005,2019
284,128,129,Sierra Leone,4.374,0.268,0.841,,0.309,0.252,0.045,2019
285,129,130,Sri Lanka,4.3660000000000005,0.949,1.265,,0.47,0.244,0.047,2019
286,130,131,Myanmar,4.36,0.71,1.181,,0.525,0.5660000000000001,0.172,2019
287,131,132,Chad,4.35,0.35,0.7659999999999999,,0.174,0.198,0.078,2019
288,132,133,Ukraine,4.332,0.82,1.39,,0.17800000000000002,0.187,0.01,2019
289,133,134,Ethiopia,4.2860000000000005,0.336,1.033,,0.344,0.209,0.1,2019
290,134,135,Swaziland,4.212,0.8109999999999999,1.149,0.0,0.313,0.07400000000000001,0.135,2019
291,135,136,Uganda,4.189,0.332,1.069,,0.35600000000000004,0.252,0.06,2019
292,136,137,Egypt,4.166,0.913,1.039,,0.241,0.076,0.067,2019
293,137,138,Zambia,4.107,0.578,1.058,,0.431,0.247,0.087,2019
294,138,139,Togo,4.085,0.275,0.5720000000000001,,0.293,0.177,0.085,2019
295,139,140,India,4.015,0.755,0.765,,0.498,0.2,0.085,2019
296,140,141,Liberia,3.975,0.073,0.922,,0.37,0.233,0.033,2019
